!SIL	SIL
<SPOKEN_NOISE>	SPN
통화한	f16 m8 e20 f18 m9 f18 m0 e3
통화할게	f16 m8 e20 f18 m9 f18 m0 e7 f0 m5
통화해	f16 m8 e20 f18 m9 f18 m1
통화해보고	f16 m8 e20 f18 m9 f18 m1 f7 m8 f0 m8
통화해야겠다	f16 m8 e20 f18 m9 f18 m1 f11 m2 f0 m5 e19 f3 m0
통화했는지	f16 m8 e20 f18 m9 f18 m1 e19 f2 m18 e3 f12 m20
통화했니	f16 m8 e20 f18 m9 f18 m1 e19 f2 m20
통화했어	f16 m8 e20 f18 m9 f18 m1 e19 f11 m4
통화했어요	f16 m8 e20 f18 m9 f18 m1 e19 f11 m4 f11 m12
통화했으니까	f16 m8 e20 f18 m9 f18 m1 e19 f11 m18 f2 m20 f1 m0
통화했으니깐	f16 m8 e20 f18 m9 f18 m1 e19 f11 m18 f2 m20 f1 m0 e3
통화했지	f16 m8 e20 f18 m9 f18 m1 e19 f12 m20
퇴근	f16 m11 f0 m18 e3
퇴근길로	f16 m11 f0 m18 e3 f0 m20 e7 f5 m8
퇴근시간	f16 m11 f0 m18 e3 f9 m20 f0 m0 e3
퇴근시간은	f16 m11 f0 m18 e3 f9 m20 f0 m0 e3 f11 m18 e3
퇴근시간을	f16 m11 f0 m18 e3 f9 m20 f0 m0 e3 f11 m18 e7
퇴근시간이	f16 m11 f0 m18 e3 f9 m20 f0 m0 e3 f11 m20
퇴근은	f16 m11 f0 m18 e3 f11 m18 e3
퇴근을	f16 m11 f0 m18 e3 f11 m18 e7
퇴근이	f16 m11 f0 m18 e3 f11 m20
퇴근이시래요	f16 m11 f0 m18 e3 f11 m20 f9 m20 f5 m1 f11 m12
퇴근이에요	f16 m11 f0 m18 e3 f11 m20 f11 m5 f11 m12
퇴근입니다	f16 m11 f0 m18 e3 f11 m20 e16 f2 m20 f3 m0
퇴근하고	f16 m11 f0 m18 e3 f18 m0 f0 m8
퇴근하세요	f16 m11 f0 m18 e3 f18 m0 f9 m5 f11 m12
퇴근하시고	f16 m11 f0 m18 e3 f18 m0 f9 m20 f0 m8
퇴근하시는지	f16 m11 f0 m18 e3 f18 m0 f9 m20 f2 m18 e3 f12 m20
퇴근하시니	f16 m11 f0 m18 e3 f18 m0 f9 m20 f2 m20
퇴근하신	f16 m11 f0 m18 e3 f18 m0 f9 m20 e3
퇴근하실	f16 m11 f0 m18 e3 f18 m0 f9 m20 e7
퇴근하지	f16 m11 f0 m18 e3 f18 m0 f12 m20
퇴근한	f16 m11 f0 m18 e3 f18 m0 e3
퇴근한다고	f16 m11 f0 m18 e3 f18 m0 e3 f3 m0 f0 m8
퇴근해	f16 m11 f0 m18 e3 f18 m1
퇴근후에	f16 m11 f0 m18 e3 f18 m13 f11 m5
퇴원	f16 m11 f11 m14 e3
퇴원은	f16 m11 f11 m14 e3 f11 m18 e3
퇴원이에요	f16 m11 f11 m14 e3 f11 m20 f11 m5 f11 m12
퇴원입니다	f16 m11 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
퇴원하는데	f16 m11 f11 m14 e3 f18 m0 f2 m18 e3 f3 m5
퇴원하니	f16 m11 f11 m14 e3 f18 m0 f2 m20
퇴원한	f16 m11 f11 m14 e3 f18 m0 e3
퇴원할	f16 m11 f11 m14 e3 f18 m0 e7
퇴원할거야	f16 m11 f11 m14 e3 f18 m0 e7 f0 m4 f11 m2
퇴원할지	f16 m11 f11 m14 e3 f18 m0 e7 f12 m20
퇴원합니다	f16 m11 f11 m14 e3 f18 m0 e16 f2 m20 f3 m0
퇴원해	f16 m11 f11 m14 e3 f18 m1
퇴원해요	f16 m11 f11 m14 e3 f18 m1 f11 m12
퇴원했습니다	f16 m11 f11 m14 e3 f18 m1 e19 f9 m18 e16 f2 m20 f3 m0
퇴원했어	f16 m11 f11 m14 e3 f18 m1 e19 f11 m4
퇴원했었지	f16 m11 f11 m14 e3 f18 m1 e19 f11 m4 e19 f12 m20
퇴원했지	f16 m11 f11 m14 e3 f18 m1 e19 f12 m20
퇴직	f16 m11 f12 m20 e0
투	f16 m13
투가	f16 m13 f0 m0
투가이즈	f16 m13 f0 m0 f11 m20 f12 m18
투가이즈가	f16 m13 f0 m0 f11 m20 f12 m18 f0 m0
투가이즈에요	f16 m13 f0 m0 f11 m20 f12 m18 f11 m5 f11 m12
투가이즈의	f16 m13 f0 m0 f11 m20 f12 m18 f11 m19
투가이즈입니다	f16 m13 f0 m0 f11 m20 f12 m18 f11 m20 e16 f2 m20 f3 m0
투게더에요	f16 m13 f0 m5 f3 m4 f11 m5 f11 m12
투게더이에요	f16 m13 f0 m5 f3 m4 f11 m20 f11 m5 f11 m12
투게더입니다	f16 m13 f0 m5 f3 m4 f11 m20 e16 f2 m20 f3 m0
투기	f16 m13 f0 m20
투기과열지구의	f16 m13 f0 m20 f0 m9 f11 m6 e7 f12 m20 f0 m13 f11 m19
투기억제냐	f16 m13 f0 m20 f11 m4 e0 f12 m5 f2 m2
투나잇이에요	f16 m13 f2 m0 f11 m20 e18 f11 m20 f11 m5 f11 m12
투니버스	f16 m13 f2 m20 f7 m4 f9 m18
투니버스가	f16 m13 f2 m20 f7 m4 f9 m18 f0 m0
투니버스를	f16 m13 f2 m20 f7 m4 f9 m18 f5 m18 e7
투니버스와	f16 m13 f2 m20 f7 m4 f9 m18 f11 m9
투로	f16 m13 f5 m8
투루	f16 m13 f5 m13
투를	f16 m13 f5 m18 e7
투명한	f16 m13 f6 m6 e20 f18 m0 e3
투모로우에요	f16 m13 f6 m8 f5 m8 f11 m13 f11 m5 f11 m12
투산	f16 m13 f9 m0 e3
투수	f16 m13 f9 m13
투수고	f16 m13 f9 m13 f0 m8
투신에	f16 m13 f9 m20 e3 f11 m5
투신이에요	f16 m13 f9 m20 e3 f11 m20 f11 m5 f11 m12
투싼이	f16 m13 f10 m0 e3 f11 m20
투어	f16 m13 f11 m4
투어가	f16 m13 f11 m4 f0 m0
투어에요	f16 m13 f11 m4 f11 m5 f11 m12
투어와	f16 m13 f11 m4 f11 m9
투에서	f16 m13 f11 m5 f9 m4
투에요	f16 m13 f11 m5 f11 m12
투원반	f16 m13 f11 m14 e3 f7 m0 e3
투의	f16 m13 f11 m19
투입니다	f16 m13 f11 m20 e16 f2 m20 f3 m0
투입이	f16 m13 f11 m20 e16 f11 m20
투입입니다	f16 m13 f11 m20 e16 f11 m20 e16 f2 m20 f3 m0
투자	f16 m13 f12 m0
투자가가	f16 m13 f12 m0 f0 m0 f0 m0
투자검토가	f16 m13 f12 m0 f0 m4 e15 f16 m8 f0 m0
투자를	f16 m13 f12 m0 f5 m18 e7
투자법	f16 m13 f12 m0 f7 m4 e16
투자법이	f16 m13 f12 m0 f7 m4 e16 f11 m20
투자성	f16 m13 f12 m0 f9 m4 e20
투자액	f16 m13 f12 m0 f11 m1 e0
투자자	f16 m13 f12 m0 f12 m0
투자처	f16 m13 f12 m0 f14 m4
투자펀드	f16 m13 f12 m0 f17 m4 e3 f3 m18
투채널을	f16 m13 f14 m1 f2 m4 e7 f11 m18 e7
투카이즈입니다	f16 m13 f15 m0 f11 m20 f12 m18 f11 m20 e16 f2 m20 f3 m0
투케더	f16 m13 f15 m5 f3 m4
투투	f16 m13 f16 m13
투팩에	f16 m13 f17 m1 e0 f11 m5
투표	f16 m13 f17 m12
투피스가	f16 m13 f17 m20 f9 m18 f0 m0
툭	f16 m13 e0
툭툭	f16 m13 e0 f16 m13 e0
툼레이더가	f16 m13 e15 f5 m5 f11 m20 f3 m4 f0 m0
퉁명스럽게	f16 m13 e20 f6 m6 e20 f9 m18 f5 m4 e16 f0 m5
튀어	f16 m16 f11 m4
튀어라가	f16 m16 f11 m4 f5 m0 f0 m0
튀어라입니다	f16 m16 f11 m4 f5 m0 f11 m20 e16 f2 m20 f3 m0
튀어보자입니다	f16 m16 f11 m4 f7 m8 f12 m0 f11 m20 e16 f2 m20 f3 m0
튜울립	f16 m17 f11 m13 e7 f5 m20 e16
트	f16 m18
트는	f16 m18 f2 m18 e3
트라이모드	f16 m18 f5 m0 f11 m20 f6 m8 f3 m18
트랙	f16 m18 f5 m1 e0
트랙은	f16 m18 f5 m1 e0 f11 m18 e3
트랙을	f16 m18 f5 m1 e0 f11 m18 e7
트랙인	f16 m18 f5 m1 e0 f11 m20 e3
트럭	f16 m18 f5 m4 e0
트럭이	f16 m18 f5 m4 e0 f11 m20
트레이드됐어요	f16 m18 f5 m5 f11 m20 f3 m18 f3 m10 e19 f11 m4 f11 m12
트레이드입니다	f16 m18 f5 m5 f11 m20 f3 m18 f11 m20 e16 f2 m20 f3 m0
트려조	f16 m18 f5 m6 f12 m8
트로닉스입니다	f16 m18 f5 m8 f2 m20 e0 f9 m18 f11 m20 e16 f2 m20 f3 m0
트로이에요	f16 m18 f5 m8 f11 m20 f11 m5 f11 m12
트로이입니다	f16 m18 f5 m8 f11 m20 f11 m20 e16 f2 m20 f3 m0
트로트	f16 m18 f5 m8 f16 m18
트로트가	f16 m18 f5 m8 f16 m18 f0 m0
트로트로	f16 m18 f5 m8 f16 m18 f5 m8
트로트를	f16 m18 f5 m8 f16 m18 f5 m18 e7
트롬	f16 m18 f5 m8 e15
트롯	f16 m18 f5 m8 e18
트롯을	f16 m18 f5 m8 e18 f11 m18 e7
트롯트	f16 m18 f5 m8 e18 f16 m18
트롯트가	f16 m18 f5 m8 e18 f16 m18 f0 m0
트롯트로	f16 m18 f5 m8 e18 f16 m18 f5 m8
트롯트를	f16 m18 f5 m8 e18 f16 m18 f5 m18 e7
트리플	f16 m18 f5 m20 f17 m18 e7
트시는	f16 m18 f9 m20 f2 m18 e3
트야	f16 m18 f11 m2
트윈스	f16 m18 f11 m16 e3 f9 m18
특가	f16 m18 e0 f0 m0
특가의	f16 m18 e0 f0 m0 f11 m19
특가전	f16 m18 e0 f0 m0 f12 m4 e3
특감	f16 m18 e0 f0 m0 e15
특강	f16 m18 e0 f0 m0 e20
특강시간이	f16 m18 e0 f0 m0 e20 f9 m20 f0 m0 e3 f11 m20
특강안내	f16 m18 e0 f0 m0 e20 f11 m0 e3 f2 m1
특강에	f16 m18 e0 f0 m0 e20 f11 m5
특강이라고	f16 m18 e0 f0 m0 e20 f11 m20 f5 m0 f0 m8
특공대	f16 m18 e0 f0 m8 e20 f3 m1
특공대입니다	f16 m18 e0 f0 m8 e20 f3 m1 f11 m20 e16 f2 m20 f3 m0
특급	f16 m18 e0 f0 m18 e16
특기	f16 m18 e0 f0 m20
특명의	f16 m18 e0 f6 m6 e20 f11 m19
특명이	f16 m18 e0 f6 m6 e20 f11 m20
특별	f16 m18 e0 f7 m6 e7
특별기획	f16 m18 e0 f7 m6 e7 f0 m20 f18 m11 e0
특별배당	f16 m18 e0 f7 m6 e7 f7 m1 f3 m0 e20
특별법	f16 m18 e0 f7 m6 e7 f7 m4 e16
특별전입니다	f16 m18 e0 f7 m6 e7 f12 m4 e3 f11 m20 e16 f2 m20 f3 m0
특별한	f16 m18 e0 f7 m6 e7 f18 m0 e3
특별활동	f16 m18 e0 f7 m6 e7 f18 m9 e7 f3 m8 e20
특별히	f16 m18 e0 f7 m6 e7 f18 m20
특사	f16 m18 e0 f9 m0
특성을	f16 m18 e0 f9 m4 e20 f11 m18 e7
특소세	f16 m18 e0 f9 m8 f9 m5
특소세법	f16 m18 e0 f9 m8 f9 m5 f7 m4 e16
특수한	f16 m18 e0 f9 m13 f18 m0 e3
특위	f16 m18 e0 f11 m16
특위놓고	f16 m18 e0 f11 m16 f2 m8 e26 f0 m8
특유의	f16 m18 e0 f11 m17 f11 m19
특이한	f16 m18 e0 f11 m20 f18 m0 e3
특집	f16 m18 e0 f12 m20 e16
특집입니다	f16 m18 e0 f12 m20 e16 f11 m20 e16 f2 m20 f3 m0
특징을	f16 m18 e0 f12 m20 e20 f11 m18 e7
특총에	f16 m18 e0 f14 m8 e20 f11 m5
특허	f16 m18 e0 f18 m4
특활반	f16 m18 e0 f18 m9 e7 f7 m0 e3
특히	f16 m18 e0 f18 m20
튼실해야하는	f16 m18 e3 f9 m20 e7 f18 m1 f11 m2 f18 m0 f2 m18 e3
튼튼한	f16 m18 e3 f16 m18 e3 f18 m0 e3
틀	f16 m18 e7
틀게	f16 m18 e7 f0 m5
틀게요	f16 m18 e7 f0 m5 f11 m12
틀겠습니다	f16 m18 e7 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0
틀고	f16 m18 e7 f0 m8
틀까요	f16 m18 e7 f1 m0 f11 m12
틀라고요	f16 m18 e7 f5 m0 f0 m8 f11 m12
틀래	f16 m18 e7 f5 m1
틀려	f16 m18 e7 f5 m6
틀렸네	f16 m18 e7 f5 m6 e19 f2 m5
틀린	f16 m18 e7 f5 m20 e3
틀린가요	f16 m18 e7 f5 m20 e3 f0 m0 f11 m12
틀림없었다	f16 m18 e7 f5 m20 e15 f11 m4 e17 f11 m4 e19 f3 m0
틀림없이	f16 m18 e7 f5 m20 e15 f11 m4 e17 f11 m20
틀림이	f16 m18 e7 f5 m20 e15 f11 m20
틀어	f16 m18 e7 f11 m4
틀어달	f16 m18 e7 f11 m4 f3 m0 e7
틀어달라고	f16 m18 e7 f11 m4 f3 m0 e7 f5 m0 f0 m8
틀어달라니까	f16 m18 e7 f11 m4 f3 m0 e7 f5 m0 f2 m20 f1 m0
틀어드렸습니다	f16 m18 e7 f11 m4 f3 m18 f5 m6 e19 f9 m18 e16 f2 m20 f3 m0
틀어드릴게요	f16 m18 e7 f11 m4 f3 m18 f5 m20 e7 f0 m5 f11 m12
틀어드릴까요	f16 m18 e7 f11 m4 f3 m18 f5 m20 e7 f1 m0 f11 m12
틀어라	f16 m18 e7 f11 m4 f5 m0
틀어보아라	f16 m18 e7 f11 m4 f7 m8 f11 m0 f5 m0
틀어보자	f16 m18 e7 f11 m4 f7 m8 f12 m0
틀어보지	f16 m18 e7 f11 m4 f7 m8 f12 m20
틀어볼래	f16 m18 e7 f11 m4 f7 m8 e7 f5 m1
틀어봐	f16 m18 e7 f11 m4 f7 m9
틀어봐라	f16 m18 e7 f11 m4 f7 m9 f5 m0
틀어봐봐	f16 m18 e7 f11 m4 f7 m9 f7 m9
틀어봐줄래	f16 m18 e7 f11 m4 f7 m9 f12 m13 e7 f5 m1
틀어봐줘	f16 m18 e7 f11 m4 f7 m9 f12 m14
틀어야겠어	f16 m18 e7 f11 m4 f11 m2 f0 m5 e19 f11 m4
틀어주겠니	f16 m18 e7 f11 m4 f12 m13 f0 m5 e19 f2 m20
틀어주겠어	f16 m18 e7 f11 m4 f12 m13 f0 m5 e19 f11 m4
틀어주고	f16 m18 e7 f11 m4 f12 m13 f0 m8
틀어주기	f16 m18 e7 f11 m4 f12 m13 f0 m20
틀어주라	f16 m18 e7 f11 m4 f12 m13 f5 m0
틀어주랴	f16 m18 e7 f11 m4 f12 m13 f5 m2
틀어주렴	f16 m18 e7 f11 m4 f12 m13 f5 m6 e15
틀어주면	f16 m18 e7 f11 m4 f12 m13 f6 m6 e3
틀어주세요	f16 m18 e7 f11 m4 f12 m13 f9 m5 f11 m12
틀어주지	f16 m18 e7 f11 m4 f12 m13 f12 m20
틀어줄	f16 m18 e7 f11 m4 f12 m13 e7
틀어줄래	f16 m18 e7 f11 m4 f12 m13 e7 f5 m1
틀어줘	f16 m18 e7 f11 m4 f12 m14
틀어줘라	f16 m18 e7 f11 m4 f12 m14 f5 m0
틀어줘봐	f16 m18 e7 f11 m4 f12 m14 f7 m9
틀어줘봐라	f16 m18 e7 f11 m4 f12 m14 f7 m9 f5 m0
틀어줘봐봐	f16 m18 e7 f11 m4 f12 m14 f7 m9 f7 m9
틀어줬으면	f16 m18 e7 f11 m4 f12 m14 e19 f11 m18 f6 m6 e3
틀어줬음	f16 m18 e7 f11 m4 f12 m14 e19 f11 m18 e15
틀었습니다	f16 m18 e7 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
틀었어요	f16 m18 e7 f11 m4 e19 f11 m4 f11 m12
틀을래	f16 m18 e7 f11 m18 e7 f5 m1
틀자	f16 m18 e7 f12 m0
틈도	f16 m18 e15 f3 m8
틈에	f16 m18 e15 f11 m5
틈을	f16 m18 e15 f11 m18 e7
틈이	f16 m18 e15 f11 m20
틉니다	f16 m18 e16 f2 m20 f3 m0
틍	f16 m18 e20
티	f16 m20
티가	f16 m20 f0 m0
티기	f16 m20 f0 m20
티미	f16 m20 f6 m20
티뷔	f16 m20 f7 m16
티뷰를	f16 m20 f7 m17 f5 m18 e7
티브	f16 m20 f7 m18
티브를	f16 m20 f7 m18 f5 m18 e7
티브비	f16 m20 f7 m18 f7 m20
티브이	f16 m20 f7 m18 f11 m20
티브이가	f16 m20 f7 m18 f11 m20 f0 m0
티브이는	f16 m20 f7 m18 f11 m20 f2 m18 e3
티브이도	f16 m20 f7 m18 f11 m20 f3 m8
티브이를	f16 m20 f7 m18 f11 m20 f5 m18 e7
티브이소리	f16 m20 f7 m18 f11 m20 f9 m8 f5 m20
티브이에	f16 m20 f7 m18 f11 m20 f11 m5
티브이의	f16 m20 f7 m18 f11 m20 f11 m19
티비	f16 m20 f7 m20
티비가	f16 m20 f7 m20 f0 m0
티비꺼	f16 m20 f7 m20 f1 m4
티비꺼도	f16 m20 f7 m20 f1 m4 f3 m8
티비는	f16 m20 f7 m20 f2 m18 e3
티비도	f16 m20 f7 m20 f3 m8
티비드라마	f16 m20 f7 m20 f3 m18 f5 m0 f6 m0
티비로	f16 m20 f7 m20 f5 m8
티비를	f16 m20 f7 m20 f5 m18 e7
티비방송으로	f16 m20 f7 m20 f7 m0 e20 f9 m8 e20 f11 m18 f5 m8
티비보고	f16 m20 f7 m20 f7 m8 f0 m8
티비보자	f16 m20 f7 m20 f7 m8 f12 m0
티비볼륨	f16 m20 f7 m20 f7 m8 e7 f5 m17 e15
티비볼륨을	f16 m20 f7 m20 f7 m8 e7 f5 m17 e15 f11 m18 e7
티비소리	f16 m20 f7 m20 f9 m8 f5 m20
티비소리를	f16 m20 f7 m20 f9 m8 f5 m20 f5 m18 e7
티비수신카드	f16 m20 f7 m20 f9 m13 f9 m20 e3 f15 m0 f3 m18
티비시청률	f16 m20 f7 m20 f9 m20 f14 m4 e20 f5 m17 e7
티비시청중이야	f16 m20 f7 m20 f9 m20 f14 m4 e20 f12 m13 e20 f11 m20 f11 m2
티비에	f16 m20 f7 m20 f11 m5
티비에는	f16 m20 f7 m20 f11 m5 f2 m18 e3
티비에서	f16 m20 f7 m20 f11 m5 f9 m4
티비에서는	f16 m20 f7 m20 f11 m5 f9 m4 f2 m18 e3
티비엔	f16 m20 f7 m20 f11 m5 e3
티비연예	f16 m20 f7 m20 f11 m6 e3 f11 m7
티비연예가	f16 m20 f7 m20 f11 m6 e3 f11 m7 f0 m0
티비영화	f16 m20 f7 m20 f11 m6 e20 f18 m9
티비영화제목도	f16 m20 f7 m20 f11 m6 e20 f18 m9 f12 m5 f6 m8 e0 f3 m8
티비와	f16 m20 f7 m20 f11 m9
티비의	f16 m20 f7 m20 f11 m19
티비전원	f16 m20 f7 m20 f12 m4 e3 f11 m14 e3
티비전원을	f16 m20 f7 m20 f12 m4 e3 f11 m14 e3 f11 m18 e7
티비전원이	f16 m20 f7 m20 f12 m4 e3 f11 m14 e3 f11 m20
티비좀	f16 m20 f7 m20 f12 m8 e15
티비채널	f16 m20 f7 m20 f14 m1 f2 m4 e7
티비채널을	f16 m20 f7 m20 f14 m1 f2 m4 e7 f11 m18 e7
티비프로	f16 m20 f7 m20 f17 m18 f5 m8
티비프로그램	f16 m20 f7 m20 f17 m18 f5 m8 f0 m18 f5 m1 e15
티비프로입니다	f16 m20 f7 m20 f17 m18 f5 m8 f11 m20 e16 f2 m20 f3 m0
티비하고	f16 m20 f7 m20 f18 m0 f0 m8
티비홈쇼핑	f16 m20 f7 m20 f18 m8 e15 f9 m12 f17 m20 e20
티빕	f16 m20 f7 m20 e16
티샷	f16 m20 f9 m2 e18
티야	f16 m20 f11 m2
티에요	f16 m20 f11 m5 f11 m12
티에프	f16 m20 f11 m5 f17 m18
티영업정지	f16 m20 f11 m6 e20 f11 m4 e16 f12 m4 e20 f12 m20
티오프가	f16 m20 f11 m8 f17 m18 f0 m0
티입니다	f16 m20 f11 m20 e16 f2 m20 f3 m0
티쥐	f16 m20 f12 m16
티켓이	f16 m20 f15 m5 e18 f11 m20
티티엘	f16 m20 f16 m20 f11 m5 e7
티티엘요금제에요	f16 m20 f16 m20 f11 m5 e7 f11 m12 f0 m18 e15 f12 m5 f11 m5 f11 m12
티티엘할인제	f16 m20 f16 m20 f11 m5 e7 f18 m0 e7 f11 m20 e3 f12 m5
티피를	f16 m20 f17 m20 f5 m18 e7
팀	f16 m20 e15
팀과	f16 m20 e15 f0 m9
팀과의	f16 m20 e15 f0 m9 f11 m19
팀끼리	f16 m20 e15 f1 m20 f5 m20
팀노래	f16 m20 e15 f2 m8 f5 m1
팀변	f16 m20 e15 f7 m6 e3
팀순위	f16 m20 e15 f9 m13 e3 f11 m16
팀순위가	f16 m20 e15 f9 m13 e3 f11 m16 f0 m0
팀순위는	f16 m20 e15 f9 m13 e3 f11 m16 f2 m18 e3
팀순위를	f16 m20 e15 f9 m13 e3 f11 m16 f5 m18 e7
팀순위입니다	f16 m20 e15 f9 m13 e3 f11 m16 f11 m20 e16 f2 m20 f3 m0
팀은	f16 m20 e15 f11 m18 e3
팀을	f16 m20 e15 f11 m18 e7
팀의	f16 m20 e15 f11 m19
팀이	f16 m20 e15 f11 m20
팀이니	f16 m20 e15 f11 m20 f2 m20
팀이랑	f16 m20 e15 f11 m20 f5 m0 e20
팀이야	f16 m20 e15 f11 m20 f11 m2
팀이지	f16 m20 e15 f11 m20 f12 m20
팀인지	f16 m20 e15 f11 m20 e3 f12 m20
팀장	f16 m20 e15 f12 m0 e20
팀장님	f16 m20 e15 f12 m0 e20 f2 m20 e15
팀장님에게	f16 m20 e15 f12 m0 e20 f2 m20 e15 f11 m5 f0 m5
팀장님에게도	f16 m20 e15 f12 m0 e20 f2 m20 e15 f11 m5 f0 m5 f3 m8
팀장님의	f16 m20 e15 f12 m0 e20 f2 m20 e15 f11 m19
팀장님한테	f16 m20 e15 f12 m0 e20 f2 m20 e15 f18 m0 e3 f16 m5
팀장에게	f16 m20 e15 f12 m0 e20 f11 m5 f0 m5
팀장에게서	f16 m20 e15 f12 m0 e20 f11 m5 f0 m5 f9 m4
팀장의	f16 m20 e15 f12 m0 e20 f11 m19
팀장이야	f16 m20 e15 f12 m0 e20 f11 m20 f11 m2
팀장한테	f16 m20 e15 f12 m0 e20 f18 m0 e3 f16 m5
팀회식이	f16 m20 e15 f18 m11 f9 m20 e0 f11 m20
파	f17 m0
파가	f17 m0 f0 m0
파격가	f17 m0 f0 m6 e0 f0 m0
파고	f17 m0 f0 m8
파고가	f17 m0 f0 m8 f0 m0
파고의	f17 m0 f0 m8 f11 m19
파는	f17 m0 f2 m18 e3
파도가	f17 m0 f3 m8 f0 m0
파도는	f17 m0 f3 m8 f2 m18 e3
파도로	f17 m0 f3 m8 f5 m8
파도의	f17 m0 f3 m8 f11 m19
파동	f17 m0 f3 m8 e20
파동의	f17 m0 f3 m8 e20 f11 m19
파동이	f17 m0 f3 m8 e20 f11 m20
파동입니다	f17 m0 f3 m8 e20 f11 m20 e16 f2 m20 f3 m0
파등이	f17 m0 f3 m18 e20 f11 m20
파라과이	f17 m0 f5 m0 f0 m9 f11 m20
파라과이로	f17 m0 f5 m0 f0 m9 f11 m20 f5 m8
파라과이였습니다	f17 m0 f5 m0 f0 m9 f11 m20 f11 m6 e19 f9 m18 e16 f2 m20 f3 m0
파라과이와	f17 m0 f5 m0 f0 m9 f11 m20 f11 m9
파라과이와에	f17 m0 f5 m0 f0 m9 f11 m20 f11 m9 f11 m5
파라과이와의	f17 m0 f5 m0 f0 m9 f11 m20 f11 m9 f11 m19
파라과이전	f17 m0 f5 m0 f0 m9 f11 m20 f12 m4 e3
파란	f17 m0 f5 m0 e3
파란버스가	f17 m0 f5 m0 e3 f7 m4 f9 m18 f0 m0
파란색	f17 m0 f5 m0 e3 f9 m1 e0
파란색의	f17 m0 f5 m0 e3 f9 m1 e0 f11 m19
파란색이	f17 m0 f5 m0 e3 f9 m1 e0 f11 m20
파랑	f17 m0 f5 m0 e20
파랑버스	f17 m0 f5 m0 e20 f7 m4 f9 m18
파랑버스가	f17 m0 f5 m0 e20 f7 m4 f9 m18 f0 m0
파랑새가	f17 m0 f5 m0 e20 f9 m1 f0 m0
파랑색버스	f17 m0 f5 m0 e20 f9 m1 e0 f7 m4 f9 m18
파로가	f17 m0 f5 m8 f0 m0
파루가	f17 m0 f5 m13 f0 m0
파루입니다	f17 m0 f5 m13 f11 m20 e16 f2 m20 f3 m0
파리	f17 m0 f5 m20
파리까지	f17 m0 f5 m20 f1 m0 f12 m20
파리까지는	f17 m0 f5 m20 f1 m0 f12 m20 f2 m18 e3
파리에	f17 m0 f5 m20 f11 m5
파리의	f17 m0 f5 m20 f11 m19
파리의연인	f17 m0 f5 m20 f11 m19 f11 m6 e3 f11 m20 e3
파리행	f17 m0 f5 m20 f18 m1 e20
파리행의	f17 m0 f5 m20 f18 m1 e20 f11 m19
파리행입니다	f17 m0 f5 m20 f18 m1 e20 f11 m20 e16 f2 m20 f3 m0
파멜라	f17 m0 f6 m5 e7 f5 m0
파문	f17 m0 f6 m13 e3
파문에	f17 m0 f6 m13 e3 f11 m5
파문의	f17 m0 f6 m13 e3 f11 m19
파문이	f17 m0 f6 m13 e3 f11 m20
파문입니다	f17 m0 f6 m13 e3 f11 m20 e16 f2 m20 f3 m0
파묻혀	f17 m0 f6 m13 e6 f18 m6
파바로티는	f17 m0 f7 m0 f5 m8 f16 m20 f2 m18 e3
파병	f17 m0 f7 m6 e20
파산	f17 m0 f9 m0 e3
파산자	f17 m0 f9 m0 e3 f12 m0
파수꾼	f17 m0 f9 m13 f1 m13 e3
파악하고	f17 m0 f11 m0 e0 f18 m0 f0 m8
파악해봐	f17 m0 f11 m0 e0 f18 m1 f7 m9
파악해줘라	f17 m0 f11 m0 e0 f18 m1 f12 m14 f5 m0
파업	f17 m0 f11 m4 e16
파업상태입니다	f17 m0 f11 m4 e16 f9 m0 e20 f16 m1 f11 m20 e16 f2 m20 f3 m0
파업에	f17 m0 f11 m4 e16 f11 m5
파업이탈입니다	f17 m0 f11 m4 e16 f11 m20 f16 m0 e7 f11 m20 e16 f2 m20 f3 m0
파업입니다	f17 m0 f11 m4 e16 f11 m20 e16 f2 m20 f3 m0
파엔	f17 m0 f11 m5 e3
파운	f17 m0 f11 m13 e3
파운드	f17 m0 f11 m13 e3 f3 m18
파운드가	f17 m0 f11 m13 e3 f3 m18 f0 m0
파운드는	f17 m0 f11 m13 e3 f3 m18 f2 m18 e3
파운드도	f17 m0 f11 m13 e3 f3 m18 f3 m8
파운드에	f17 m0 f11 m13 e3 f3 m18 f11 m5
파운드화	f17 m0 f11 m13 e3 f3 m18 f18 m9
파운드화가	f17 m0 f11 m13 e3 f3 m18 f18 m9 f0 m0
파운드화는	f17 m0 f11 m13 e3 f3 m18 f18 m9 f2 m18 e3
파운든	f17 m0 f11 m13 e3 f3 m18 e3
파워	f17 m0 f11 m14
파워로직스	f17 m0 f11 m14 f5 m8 f12 m20 e0 f9 m18
파워섹시댄스입니다	f17 m0 f11 m14 f9 m5 e0 f9 m20 f3 m1 e3 f9 m18 f11 m20 e16 f2 m20 f3 m0
파워에프엠	f17 m0 f11 m14 f11 m5 f17 m18 f11 m5 e15
파일	f17 m0 f11 m20 e7
파일을	f17 m0 f11 m20 e7 f11 m18 e7
파장	f17 m0 f12 m0 e20
파장입니다	f17 m0 f12 m0 e20 f11 m20 e16 f2 m20 f3 m0
